ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,Unnamed: 20,Unnamed: 21
B001KYT6CS,($) sodastream,"($) SodaStream Jet Sparkling Water Maker, Kit w/60l Cylinder, Silver",($) Kitchen & Dining,($) Amazon,1.0,AMZ,79.99,19.0,"2,385","190,776.15","1,476",4.0,"2,394",260.0,8.0x17.0x7.8,6.5,Large Standard-Size,7.0,05/05/2003,,
B072JVCJ5D,($) Amplim,($) Amplim Hospital Medical Grade No Touch Non Contact Digital Infrared Temporal Forehead Thermometer for Adult/Baby/Kid/Toddler/Infant/ Nurse. Best for Head Fever Temperatures Termometro - Blue,($) Baby,($) Amplim,1.0,FBA,39.99,8.0,"1,099","43,949.01","1,881",4.5,432,87.0,3.4x7.9x2.5,0.6,Large Standard-Size,9.0,06/26/2017,,
1786818248,Visit Amazon's M.M. Chouinard Page,The Dancing Girls: An absolutely gripping crime thriller with nail-biting suspense (Detective Jo Fournier),Books,Amazon,14.0,AMZ,9.89,6.0,"2,633","26,040.37","1,161",4.0,"4,500",1275.0,5.0x7.7x1.2,0.65,Large Standard-Size,2.0,,,
B07CM81WW2,IUGA,"IUGA High Waist Yoga Pants with Pockets, Tummy Control, Workout Pants for Women 4 Way Stretch Yoga Leggings with Pockets",Sports & Outdoors,iuga,1.0,FBA,22.95,9.0,"16,297","374,016.15",19,4.5,"24,476",3886.0,7.1x12.4x0.6,0.8,Large Standard-Size,6.0,01/25/2018,,
1501154656,Visit Amazon's Lisa Jewell Page,Then She Was Gone: A Novel,Books,Amazon,47.0,AMZ,8.64,8.0,"7,031","60,747.84",100,4.5,"13,438",3223.0,5.5x8.2x1.2,0.85,Large Standard-Size,2.0,,,
B07QQLCZY1,Visit Amazon's Jeanine Cummins Page,American Dirt (Oprah's Book Club): A Novel,Kindle Store,,,,14.99,0.0,,,113,4.5,"15,172",0.0,,,,1.0,,,
B07YFS9ZJB,($) F40C4TMP,"($) Insulated Lunch Box for Men, 18 cans Large Leakproof Freezable Big Lunch Cooler Tote, Portable Lunch Bag Adult Kids with Shoulder Strap and Side Pocket for Work, Picnic, School, Sport, Office - Black",($) Kitchen & Dining,($) F40C4TMP,1.0,FBA,26.17,9.35,457,"11,959.69","3,648",4.5,829,103.0,9.1x11.8x3.2,0.8,Large Standard-Size,8.0,09/27/2019,,
0547577311,Visit Amazon's Linda Sue Park Page,A Long Walk to Water: Based on a True Story,Books,Amazon,52.0,AMZ,7.64,5.0,"4,356","33,279.84",206,5.0,"5,479",837.0,5.2x7.7x0.4,0.3,Small Standard-Size,3.0,,,
B07MV8SWZF,Visit Amazon's Barbara O'Neal Page,When We Believed in Mermaids: A Novel,Kindle Store,,,,1.99,0.0,,,47,4.5,"14,700",0.0,,,,,,,
B081Y47NRW,Visit Amazon's Ken Follett Page,The Evening and the Morning (Kingsbridge Book 4),Kindle Store,,,,15.99,0.0,,,6,4.5,"1,617",0.0,,,,1.0,,,
B081Y4HFXG,Visit Amazon's John Grisham Page,Camino Winds,Kindle Store,,,,14.99,0.0,,,429,4.5,"9,640",0.0,,,,,,,
B0849PJNX5,($) Awesome J,($) Awesome J Soft Opaque Slim Daily Yoga Pants Activewear,($) Unknown,($) Awesome J,1.0,FBA,12.99,6.02,,,,4.5,72,26.0,7.4x11.0x1.1,0.4,Large Standard-Size,4.0,01/28/2020,,
0735224315,Visit Amazon's Celeste Ng Page,Little Fires Everywhere: A Novel,Books,Amazon,55.0,AMZ,10.19,5.0,"4,331","44,132.89",253,4.5,"26,280",5106.0,5.0x7.6x0.7,0.5,Small Standard-Size,1.0,,,
